name	count
COMMITTEE	20
Zhicheng Liu	5
Wei Chen	4
Vijay Natarajan	5
Veronika Solteszova	4
Tobias Isenberg	5
Timo Bremer	4
Thomas Wischgoll	5
Tatiana von Landesberger	5
Stephan Diehl	4
Steffen Oeltze-Jafra	5
Steffen Koch	5
Silvia Miksch	5
Shigeo Takahashi	6
Roxana Bujack	5
Ross Maciejewski	5
Rosane Minghim	5
Robert Kosara	5
Rita Borgo	5
Renato Pajarola	5
Nan Cao	4
Min Chen	4
Michel Westenberg	4
Michael Krone	4
Michael Burch	4
Markus Hadwiger	4
Mario Hlawitschka	4
Manuela Waldner	5
Luis Gustavo Nonato	5
Lars Linsen	5
Lane Harrison	5
Klaus Mueller	5
Kenneth Moreland	4
Kelly Gaither	4
Kai Lawonn	4
Jörn Kohlhammer	5
Joao Comba	4
Jing Yang	5
Jiawan Zhang	5
Jessie Kennedy	4
Jens Krueger	6
Jean-Daniel Fekete	5
Issei Fujishiro	5
Huamin Qu	4
Hongfeng Yu	5
Holger Theisel	4
Helwig Hauser	4
Harsh Bhatia	5
Hans-Christian Hege	5
Han-Wei Shen	4
Gerik Scheuermann	5
Gennady Andrienko	4
Gabriel Mistelbauer	4
Fabian Beck	5
Enrico Gobbetti	4
Eduard Gröller	3
David Ebert	5
Daniel Keim	5
Chaoli Wang	5
Carsten Görg	4
Carla Freitas	5
Cagatay Turkay	5
Bernhard Preim	6
Bernd Hentschel	4
Bei Wang	5
Balázs Csébfalvi	4
Anna Vilanova	5
Andreas Kerren	5
Alireza Entezari	4
Alexandru Telea	5
Alex Endert	5
Alark Joshi	5
